Alabama,Birmingham,-9662444.66218514,3965564.0232335
Alabama,Huntsville,-9643354.0897512,4124141.37385543
Alabama,Mobile,-9806018.03144648,3590930.37641806
Alabama,Montgomery,-9605122.83664093,3809921.65086676
Alaska,Anchorage,-16683910.3329056,8677523.44069213
Alaska,Annette,-14637119.7701403,7397352.33617174
Alaska,Barrow,-17441754.0086637,11503176.0468174
Alaska,Bethel,-18006422.7192526,8583332.42658117
Alaska,Bettles,-16751724.3288914,10132367.052974
Alaska,Big Delta,-16237441.1431245,9389138.82598353
Alaska,Cold Bay,-18126997.6016324,7407074.70771738
Alaska,Fairbanks,-16424203.7941508,9574130.14719143
Alaska,Gulkana,-16184743.1793999,8923552.21188786
Alaska,King Salmon,-17450526.8723777,8114900.34086213
Alaska,Kodiak,-17192161.4468944,7877976.39685708
Alaska,Kotzebue,-18089546.5395931,10128288.9494614
Alaska,McGrath,-17317842.8240686,9088335.96189931
Alaska,Nome,-18410576.4664253,9482407.31095364
Alaska,St. Paul Island,-18956933.7356686,7797332.58738597
Alaska,Talkeetna,-16686791.6699117,8930630.66920175
Alaska,Yakutat,-15556295.1933259,8301198.05011422
Arizona,Flagstaff,-12425458.9422247,4189596.69043003
Arizona,Phoenix,-12475731.5701075,3967541.70555506
Arizona,Prescott,-12517776.1848076,4106411.06164916
Arizona,Tucson,-12344407.6551241,3789042.56206989
Arkansas,Fort Smith,-10506861.5004709,4213983.70772849
Arkansas,Little Rock,-10280808.3311774,4126220.20345146
California,Arcata,-13812622.838942,4992869.25169504
California,Bakersfield,-13247531.5297169,4212598.06869849
California,Daggett,-12825864.3748814,4145780.92927059
California,Fresno,-13335284.6397815,4408569.42822581
California,Long Beach,-13153488.5122002,4000491.34819239
California,Los Angeles,-13181474.6551997,4043864.09166303
California,Sacramento,-13521689.0714551,4659814.93174416
California,San Diego,-13039497.9658851,3870767.22384739
California,San Francisco,-13641780.9834008,4558739.65559347
California,Santa Maria,-13406974.0801578,4155327.16912824
Colorado,Alamosa,-11592065.9306232,4502017.98271716
Colorado,Boulder,-11716487.6698231,4869848.93862005
Colorado,Colorado Springs,-11661819.0575127,4702095.2097743
Colorado,Eagle,-11697819.4468768,4815210.82627579
Colorado,Grand Junction,-12084053.797036,4734184.18109587
Colorado,Pueblo,-11646356.691186,4618141.38800301
Connecticut,Bridgeport,-8148165.13355251,5039862.97336981
Connecticut,Hartford,-8091131.2202865,5125946.99140933
Delaware,Wilmington,-8407955.90759989,4827589.96506514
Florida,Daytona Beach,-9022744.02237777,3400136.67599615
Florida,Jacksonville,-9090092.68834119,3546626.13148571
Florida,Key West,-9103174.46064067,2822144.08421207
Florida,Miami,-8929031.37661942,2971323.02534253
Florida,Tallahassee,-9382162.81966169,3562429.32683634
Florida,Tampa,-9181867.23059537,3243805.56374518
Florida,West Palm Beach,-8919610.93688117,3091985.37348002
Georgia,Athens,-9283344.18040519,4022801.40311913
Georgia,Atlanta,-9397879.97069941,3997009.72326563
Georgia,Augusta,-9127640.25498763,3956168.28643034
Georgia,Columbus,-9448238.38360824,3830537.7577868
Georgia,Macon,-9312636.54742285,3873655.25341524
Georgia,Savannah,-9031534.28025225,3766508.76727306
Hawaii,Hilo,-17264472.2993679,2241307.55873467
Hawaii,Honolulu,-17574661.5318519,2429427.71320611
Hawaii,Kahului,-17419148.8708222,2381770.60740668
Hawaii,Lihue,-17737698.9990605,2523905.83522955
Idaho,Boise,-12938229.9460616,5404770.98551522
Idaho,Pocatello,-12519935.9499082,5293148.57516364
Illinois,Chicago,-9761045.88111778,5136601.69891758
Illinois,Moline,-10073167.1440603,5084159.24197709
Illinois,Peoria,-9975253.0090624,4974795.9069011
Illinois,Rockford,-9914464.33946571,5201555.73753983
Illinois,Springfield,-9979197.15992194,4834230.8295517
Indiana,Evansville,-9745275.22325361,4577186.97147151
Indiana,Fort Wayne,-9477632.66807249,5023225.79755134
Indiana,Indianapolis,-9589749.65169781,4833502.56027606
Indiana,South Bend,-9603053.94052744,5112464.46192011
Iowa,Des Moines,-10421442.2714358,5097786.54650254
Iowa,Mason City,-10374806.342224,5335035.85457915
Iowa,Sioux City,-10730525.5876259,5236196.24632351
Iowa,Waterloo,-10280472.8576468,5234913.06854473
Kansas,Dodge City,-11133663.8113677,4545388.35072661
Kansas,Goodland,-11165344.9265653,4774335.14955787
Kansas,Topeka,-10652384.8621581,4727101.7368459
Kansas,Wichita,-10836136.081711,4535352.69038084
Kentucky,Covington,-9408093.65643113,4726948.65694764
Kentucky,Lexington,-9284045.53215902,4584131.05465993
Kentucky,Louisville,-9544661.99626545,4611224.35658191
Louisiana,Baton Rouge,-10144105.8023761,3561392.38736304
Louisiana,Lake Charles,-10375300.6352722,3530681.50847643
Louisiana,New Orleans,-10011113.0167562,3512016.96835549
Louisiana,Shreveport,-10441524.8274369,3825369.30530425
Maine,Caribou,-7567866.33844635,5920343.19687668
Maine,Portland,-7819480.81612002,5415674.99482385
Maryland,Baltimore,-8528255.0507965,4764850.68552379
Massachusetts,Boston,-7905675.45553984,5211448.62973958
Massachusetts,Worchester,-7994603.61736547,5201757.36685236
Michigan,Alpena,-9288225.95863777,5632986.5901478
Michigan,Detroit,-9250894.96294746,5218539.62799753
Michigan,Flint,-9316640.14956965,5315450.50300838
Michigan,Grand Rapids,-9535151.5313418,5306075.60765065
Michigan,Houghton,-9867304.1044612,5958719.92788778
Michigan,Lansing,-9412507.4709015,5267798.02082645
Michigan,Muskegon,-9601921.82353246,5346671.74121167
